Date,Type,Label,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2021-07-14 05:08:54 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.1959868,BNB,939.1663408494,"","","",939.1663408494,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,86cab09d293e7377c1a14e5edec6630c8d230840dcbe5dcfebcae06b638f1277,""
2021-07-14 05:13:12 UTC,exchange,"",Binance Smart Chain (BNB) 2,1.0049456375,BNB,295.6988760617,Binance Smart Chain (BNB) 2,99230400.0,SAFEMOON,295.3113314246,"","",-0.3875446371,295.3113314246,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,8cd7f66a0277b3bea6ad4756f8d7d8fe95fb46f9cd7d99afc8088f0df834ce13,""
2021-07-14 05:15:06 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.1849950168,BNB,642.0783010437,Binance Smart Chain (BNB) 2,216313200.0,SAFEMOON,642.0783010437,"","","",642.0783010437,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,2133aa9804fb3e4fa1739a4d20d4884378ee3d02229042b009bd5493187b13c2,""
2021-07-14 11:10:39 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.1079871,BNB,943.7495171798,"","","",943.7495171798,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,85a629652aa035e2c0999776a1cc2ab170b4d64c57d4b4c15263d319d8d78842,""
2021-07-14 11:15:06 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.1052265578,BNB,942.6664796863,Binance Smart Chain (BNB) 2,311814000.0,SAFEMOON,942.9112703388,"","",0.2447906525,942.9112703388,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,775627e0449948b5dbf946cbb2d1ad30aa17e1f4aa780415a994104e6bd14515,""
2021-07-16 21:10:39 UTC,fiat_deposit,"","","","","",Binance US,50.0,USD,"","","","",50.0,"","","",6ed1499dc25b41d2b39f8debcbc4532b,""
2021-07-16 21:10:47 UTC,buy,"",Binance US,50.0,USD,"",Binance US,0.16,BNB,50.0,"","","",50.0,"","","",9e54b6fe1bb048c985286fe5c49ec94c,""
2021-07-16 21:12:53 UTC,fiat_deposit,"","","","","",Binance US,50.0,USD,"","","","",50.0,"","","",c8e8979da0204dd1a5a4fb3e6dff824c,""
2021-07-16 21:12:58 UTC,buy,"",Binance US,50.0,USD,"",Binance US,0.16,BNB,50.0,"","","",50.0,"","","",d0b0fdfbbe9047628cfd9b84cc84f500,""
2021-07-16 21:26:20 UTC,fiat_deposit,"","","","","",Binance US,50.0,USD,"","","","",50.0,"","","",77f2c21d0725415a975d659d54ffe55c,""
2021-07-16 21:26:26 UTC,buy,"",Binance US,50.0,USD,"",Binance US,0.16,BNB,50.0,"","","",50.0,"","","",d643633b7ffe49678e1b45092f1623f4,""
2021-07-17 02:43:28 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.232,BNB,957.8835005267,"","","",957.8835005267,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,57a49a8fb75dccf7fff72349c5980e986118e9ce6f991574f0a03c88254dec45,""
2021-07-17 02:47:13 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.2059504623,BNB,958.1051298737,Binance Smart Chain (BNB) 2,315741600.0,SAFEMOON,950.1630728166,"","",-7.9420570571,950.1630728166,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,c83b21d7b89c70a43929fbec2caaa5bbee5795b1f502fd454ffd3674a5b13d96,""
2021-07-17 03:31:16 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.223,BNB,961.0547269447,"","","",961.0547269447,"",0xe2fc31f816a9b94326492132018c3aecc4a93ae1,0xdf4a44530df09846df19ae5badb6565bac12933b,1a16724b08b8eac7bde505bd0e12dd63dbc462e5423efe3e509bf7c2437df8d2,""
2021-07-17 03:44:04 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.2517822959,BNB,968.6702117683,Binance Smart Chain (BNB) 2,319316400.0,SAFEMOON,969.6372157834,"","",0.9670040151,969.6372157834,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,f8e7f13b415bd5c1f039559e612e9ec8089ca5651e46f9451930e29639be4b2d,""
2021-07-17 19:59:13 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.128424,BNB,949.9952560985,"","","",949.9952560985,"",0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,0xdf4a44530df09846df19ae5badb6565bac12933b,d739ec5a546c3725a003ae636f9c891b1a162d35fe78d4c2be1ae672b5e57ff0,""
2021-07-17 20:03:24 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.128418147,BNB,947.2262892185,Binance Smart Chain (BNB) 2,308953800.0,SAFEMOON,946.8628526834,"","",-0.3634365351,946.8628526834,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,effa9a133722be0abf199c657fbf994db6ca91503fda88742e4e9aed86a100a2,""
2021-07-18 14:15:27 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.157,BNB,948.0045734105,"","","",948.0045734105,"",0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,0xdf4a44530df09846df19ae5badb6565bac12933b,96f87390bc499cce3ca44b8ae7a6df5212bb993f5ec5277269a2aca9b0b13e4c,""
2021-07-18 14:52:51 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.1571438972,BNB,949.7543809277,Binance Smart Chain (BNB) 2,308817900.0,SAFEMOON,948.0477838013,"","",-1.7065971264,948.0477838013,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,92efab65f6ed939d6e2264faaca045d959702decc81ddfc9f635a1b953434e4e,""
2021-07-18 14:58:48 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.199328,BNB,960.7151016282,"","","",960.7151016282,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,f6b646440adefd24c56bd77c46baf23a368aab499bd47526783e16d3b56e1ad2,""
2021-07-18 15:00:39 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.1991385627,BNB,960.6582161588,Binance Smart Chain (BNB) 2,313459200.0,SAFEMOON,968.9614857318,"","",8.303269573,968.9614857318,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,dce82506e6626b48303f7c507dd4b9ae658691e2efa17d341e21ffff2a482869,""
2021-07-18 15:04:36 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.559,BNB,775.0750376673,"","","",775.0750376673,"",0xdccf3b77da55107280bd850ea519df3705d1a75a,0xdf4a44530df09846df19ae5badb6565bac12933b,7cf1e9287c80d2e4421f5819626255f1f9a13b0b005ca46b0fea86ce4d318031,""
2021-07-18 15:06:57 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.5592007541,BNB,773.8249464485,Binance Smart Chain (BNB) 2,250610400.0,SAFEMOON,775.1358424706,"","",1.3108960221,775.1358424706,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,b59aa68e71ed490ba201db8297b397f884206b6834f19bbf9cf816624fb4f15a,""
2021-07-21 23:58:19 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.25268515,BNB,952.8232224,"","","",952.8232224,"",0x305c43c6b793646e4538f671b63972ea7c66b4ad,0xdf4a44530df09846df19ae5badb6565bac12933b,454881619d078c581d9c8f124760c1039bd36d229aa63fb25059c4670f3a7155,""
2021-07-22 00:00:58 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.2525637848,BNB,957.8099377259,Binance Smart Chain (BNB) 2,336439800.0,SAFEMOON,952.7876703636,"","",-5.0222673623,952.7876703636,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,b11f3f77281ad0d788e7bf4df980d98ad5cecd99efa9a3bbfd7d02db94e54387,""
2021-07-22 00:04:13 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.25802349,BNB,954.387005578,"","","",954.387005578,"",0x25508c3eb1f882b6d357e72e952f5559284ddeb6,0xdf4a44530df09846df19ae5badb6565bac12933b,5f48e85d0d376ced9d149078b074132d3dae18007f1e80643b5a8b314a6a7874,""
2021-07-22 00:07:22 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.2580475954,BNB,954.3940668778,Binance Smart Chain (BNB) 2,336910500.0,SAFEMOON,954.3940668778,"","","",954.3940668778,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,5cf0d633e0c1145b1dc30286b6dd69db1d4032bbb019946a2690ce412a9d496d,""
